"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Campfire_C"",EngramLevelRequirement=2,EngramPointsCost=3,EngramHidden=True,RemoveEngramPreReq=True)",THE ISLAND / BASE,https://ark-engram-editor.pages.dev/EngramsEditor,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_HideSleepingBag_C"",EngramLevelRequirement=4,EngramPointsCost=3,EngramHidden=True,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_NotePaper_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_StonePick_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Torch_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,bOnlyAllowSpecifiedEngrams=true
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Campfire_C"",EngramLevelRequirement=2,EngramPointsCost=3,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Spear_C"",EngramLevelRequirement=2,EngramPointsCost=3,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_StoneHatchet_C"",EngramLevelRequirement=2,EngramPointsCost=3,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ClothBoots_C"",EngramLevelRequirement=3,EngramPointsCost=3,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ClothGloves_C"",EngramLevelRequirement=3,EngramPointsCost=3,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ClothHelmet_C"",EngramLevelRequirement=3,EngramPointsCost=3,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ClothPants_C"",EngramLevelRequirement=3,EngramPointsCost=3,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ClothShirt_C"",EngramLevelRequirement=3,EngramPointsCost=3,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Waterskin_C"",EngramLevelRequirement=3,EngramPointsCost=6,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_DecorBox_C"",EngramLevelRequirement=4,EngramPointsCost=2,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_HideSleepingBag_C"",EngramLevelRequirement=4,EngramPointsCost=3,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_StorageBox_Small_C"",EngramLevelRequirement=4,EngramPointsCost=6,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ThatchCeiling_C"",EngramLevelRequirement=4,EngramPointsCost=3,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ThatchDoor_C"",EngramLevelRequirement=4,EngramPointsCost=3,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ThatchFloor_C"",EngramLevelRequirement=4,EngramPointsCost=3,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ThatchWall_C"",EngramLevelRequirement=4,EngramPointsCost=3,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Ladder_Thatch_C"",EngramLevelRequirement=4,EngramPointsCost=3,EngramHidden=True,RemoveEngramPreReq=False)",not on website,,,,,,
