"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_NotePaper_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,THE ISLAND / BASE,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_StonePick_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,https://ark-engram-editor.pages.dev/EngramsEditor,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Torch_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,these are all the vanilla engrams i want,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Campfire_C"",EngramLevelRequirement=2,EngramPointsCost=3,EngramHidden=False,RemoveEngramPreReq=True)",x,,,up to date with 1.4 acro update,,CS
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Spear_C"",EngramLevelRequirement=2,EngramPointsCost=3,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_StoneHatchet_C"",EngramLevelRequirement=2,EngramPointsCost=3,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ClothBoots_C"",EngramLevelRequirement=3,EngramPointsCost=3,EngramHidden=False,RemoveEngramPreReq=True)",,,,https://ark.wiki.gg/wiki/Engram_class_names,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ClothGloves_C"",EngramLevelRequirement=3,EngramPointsCost=3,EngramHidden=False,RemoveEngramPreReq=True)",,,,https://ark-engram-editor.pages.dev/EngramsEditor,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ClothHelmet_C"",EngramLevelRequirement=3,EngramPointsCost=3,EngramHidden=False,RemoveEngramPreReq=True)",,,,as base (esp second one is incomplete),,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ClothPants_C"",EngramLevelRequirement=3,EngramPointsCost=3,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ClothShirt_C"",EngramLevelRequirement=3,EngramPointsCost=3,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Waterskin_C"",EngramLevelRequirement=3,EngramPointsCost=6,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_DecorBox_C"",EngramLevelRequirement=4,EngramPointsCost=2,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,
