DinoName,Info,FromClass,DinoName,ToClass1,ChanceTo1,DinoName,ToClass2,ChanceTo2,DinoName,ToClass3,ChanceTo3,DinoName,ToClass4,ChanceTo4,DinoName,ToClass5,ChanceTo5,DinoName,ToClass6,ChanceTo6,DinoName,ToClass7,ChanceTo7
Eerie Genyo,10% of normal,/PrehistoricBeasts2/Genyodectes/BPs/Genyodectes_Character_BP_Eerie.Genyodectes_Character_BP_Eerie,Genyodectes,/PrehistoricBeasts2/Genyodectes/BPs/Genyodectes_Character_BP.Genyodectes_Character_BP,100,,,,,,,,,,,,,,,,,,
Eerie Haino,10% of normal,/PrehistoricBeasts3/Hainosaurus/BPs/Hainosaurus_Character_BP_Eerie.Hainosaurus_Character_BP_Eerie,Hainosaurus,/PrehistoricBeasts3/Hainosaurus/BPs/Hainosaurus_Character_BP.Hainosaurus_Character_BP,100,,,,,,,,,,,,,,,,,,
Eerie Nasuto,10% of normal,/Beasts/Nasutoceratops/BPs/Nasutoceratops_Character_BP_Eerie.Nasutoceratops_Character_BP_Eerie,Nasutoceratops,/Beasts/Nasutoceratops/BPs/Nasutoceratops_Character_BP.Nasutoceratops_Character_BP,100,,,,,,,,,,,,,,,,,,
Eerie Masso,10% of normal,/PrehistoricBeasts4/Massospondylus/BPs/Massospondylus_Character_BP_Eerie.Massospondylus_Character_BP_Eerie,Massospondylus,/PrehistoricBeasts4/Massospondylus/BPs/Massospondylus_Character_BP.Massospondylus_Character_BP,100,,,,,,,,,,,,,,,,,,
Eerie Neovenator,10% of normal,/Beasts/Neovenator/BPs/Neovenator_Character_BP_Eerie.Neovenator_Character_BP_Eerie,Neovenator,/Beasts/Neovenator/BPs/Neovenator_Character_BP.Neovenator_Character_BP,100,,,,,,,,,,,,,,,,,,
Eerie Paraxeni,10% of normal,/PrehistoricBeasts2/Paraxenisaurus/BPs/Paraxenisaurus_Character_BP_Eerie.Paraxenisaurus_Character_BP_Eerie,Paraxenisaurus,/PrehistoricBeasts2/Paraxenisaurus/BPs/Paraxenisaurus_Character_BP.Paraxenisaurus_Character_BP,100,,,,,,,,,,,,,,,,,,
Eerie Pinaco,10% of normal,/PrehistoricBeasts3/Pinacosaurus/BPs/Pinacosaurus_Character_BP_Eerie.Pinacosaurus_Character_BP_Eerie,Pinacosaurus,/PrehistoricBeasts3/Pinacosaurus/BPs/Pinacosaurus_Character_BP.Pinacosaurus_Character_BP,100,,,,,,,,,,,,,,,,,,
Eerie Scelido,10% of normal,/PrehistoricBeasts4/Scelidosaurus/BPs/Scelidosaurus_Character_BP_Eerie.Scelidosaurus_Character_BP_Eerie,Scelidosaurus,/PrehistoricBeasts4/Scelidosaurus/BPs/Scelidosaurus_Character_BP.Scelidosaurus_Character_BP,100,,,,,,,,,,,,,,,,,,
Eerie Puru,10% of normal,/PrehistoricBeastsPartV/Purussaurus/BPs/Purussaurus_Character_BP_Eerie.Purussaurus_Character_BP_Eerie,Purussaurus,/PrehistoricBeastsPartV/Purussaurus/BPs/Purussaurus_Character_BP.Purussaurus_Character_BP,100,,,,,,,,,,,,,,,,,,
Eerie Sinorn,10% of normal,/PrehistoricBeastsPartV/Sinornithoides/BPs/Sinornithoides_Character_BP_Eerie.Sinornithoides_Character_BP_Eerie,Sinornithoides,/PrehistoricBeastsPartV/Sinornithoides/BPs/Sinornithoides_Character_BP.Sinornithoides_Character_BP,100,,,,,,,,,,,,,,,,,,
Evo Rex,replaces vanilla fully,/PA_EVO_Pack_01/Dinos/EVO_Rex/EVO_Rex_Character_BP.EVO_Rex_Character_BP,Vanilla Rex,/Game/PrimalEarth/Dinos/Rex/Rex_Character_BP.Rex_Character_BP,95,Tek Rex,/Game/PrimalEarth/Dinos/Rex/BionicRex_Character_BP.BionicRex_Character_BP,5,,,,,,,,,,,,,,,
Evo Tarbo,replaces vanilla on SE,/PA_EVO_Pack_01/Dinos/EVO_Rex/Tarbo/EVO_Tarbo_Character_BP.EVO_Tarbo_Character_BP,Evo Tarbo,/PA_EVO_Pack_01/Dinos/EVO_Rex/Tarbo/EVO_Tarbo_Character_BP.EVO_Tarbo_Character_BP,50,Vanilla Rex,/Game/PrimalEarth/Dinos/Rex/Rex_Character_BP.Rex_Character_BP,50,,,,,,,,,,,,,,,
Evo Tek Rex,replaces vanilla fully,/PA_EVO_Pack_01/Dinos/EVO_Rex/Bionic/EVO_Tek_Rex_Character_BP.EVO_Tek_Rex_Character_BP,Evo Tek Rex,/PA_EVO_Pack_01/Dinos/EVO_Rex/Bionic/EVO_Tek_Rex_Character_BP.EVO_Tek_Rex_Character_BP,50,Tek Rex,/Game/PrimalEarth/Dinos/Rex/BionicRex_Character_BP.BionicRex_Character_BP,50,,,,,,,,,,,,,,,
Alpha Evo Rex,replaces vanilla fully,/PA_EVO_Pack_01/Dinos/EVO_Rex/Alpha/EVO_Alpha_Rex_Character_BP.EVO_Alpha_Rex_Character_BP,Alpha Evo Rex,/PA_EVO_Pack_01/Dinos/EVO_Rex/Alpha/EVO_Alpha_Rex_Character_BP.EVO_Alpha_Rex_Character_BP,50,Vanilla Alpha Rex,/Game/PrimalEarth/Dinos/Rex/MegaRex_Character_BP.MegaRex_Character_BP,50,,,,,,,,,,,,,,,
Corrupt Evo Rex,replaces vanilla fully,/PA_EVO_Pack_01/Dinos/EVO_Rex/Extinction/EVO_Corrupt_Rex_Character_BP.EVO_Corrupt_Rex_Character_BP,Corrupt Evo Rex,/PA_EVO_Pack_01/Dinos/EVO_Rex/Extinction/EVO_Corrupt_Rex_Character_BP.EVO_Corrupt_Rex_Character_BP,50,Corrupt Rex,/Game/Extinction/Dinos/Corrupt/Rex/Rex_Character_BP_Corrupt.Rex_Character_BP_Corrupt,50,,,,,,,probably works?,,,,,,,,
Corrupt Evo Alpha Rex,replaces vanilla fully,/PA_EVO_Pack_01/Dinos/EVO_Rex/Extinction/EVO_Alpha_Corrupt_Tek_Rex_Character_BP.EVO_Alpha_Corrupt_Tek_Rex_Character_BP,Corrupt Evo Alpha Rex,/PA_EVO_Pack_01/Dinos/EVO_Rex/Extinction/EVO_Alpha_Corrupt_Tek_Rex_Character_BP.EVO_Alpha_Corrupt_Tek_Rex_Character_BP,50,Corrupt Alpha Rex,/Game/Extinction/Dinos/Corrupt/Rex/MegaRex_Character_BP_Corrupt.MegaRex_Character_BP_Corrupt,50,,,,,,,probably works?,,,,,,,,
Corrupt Evo Giga,replaces vanilla fully,/PA_EVO_Pack_01/Dinos/EVO_Giga/Extinction/EVO_Corrupt_Giga_Character_BP.EVO_Corrupt_Giga_Character_BP,Corrupt Evo Giga,/PA_EVO_Pack_01/Dinos/EVO_Giga/Extinction/EVO_Corrupt_Giga_Character_BP.EVO_Corrupt_Giga_Character_BP,50,Corrupt Giga,/Game/Extinction/Dinos/Corrupt/Giganotosaurus/Gigant_Character_BP_Corrupt.Gigant_Character_BP_Corrupt,50,,,,,,,probably works?,,,,,,,,
Revenant Evo Rex,replaces vanilla fully,/PA_EVO_Pack_01/Dinos/EVO_Rex/Zombie/EVO_Rex_Character_BP_Corrupted_Zombie.EVO_Rex_Character_BP_Corrupted_Zombie,Revenant Evo Rex,/PA_EVO_Pack_01/Dinos/EVO_Rex/Zombie/EVO_Rex_Character_BP_Corrupted_Zombie.EVO_Rex_Character_BP_Corrupted_Zombie,50,Revenant Rex,/Game/LostColony/Dinos/ZombieDino/Rex/Rex_Character_BP_Corrupt_Zombie.Rex_Character_BP_Corrupt_Zombie,50,,,,,,,probably works?,,,,,,,,
Evo Giga,replaces vanilla fully,/PA_EVO_Pack_01/Dinos/EVO_Giga/EVO_Giga_Character_BP.EVO_Giga_Character_BP,Vanilla Giga,/Game/PrimalEarth/Dinos/Giganotosaurus/Gigant_Character_BP.Gigant_Character_BP,100,,,,,,,,,,,,,,,,,,
Evo Mosa,replaces vanilla fully,/PA_EVO_Pack_02/Dinos/EVO_Mosa/EVO_Mosa_Character_BP.EVO_Mosa_Character_BP,Evo Mosa,/PA_EVO_Pack_02/Dinos/EVO_Mosa/EVO_Mosa_Character_BP.EVO_Mosa_Character_BP,50,Vanilla Mosa,/Game/PrimalEarth/Dinos/Mosasaurus/Mosa_Character_BP.Mosa_Character_BP,50,,,,,,,,,,,,,,,
