GFMockatoo_Character_BP_C                        0 Tamed(   0 female,    0 babies) /    9 Wild(   3 female,    0 babies,    4 latent)
Arambourgiania_Character_BP_GSC_C                0 Tamed(   0 female,    0 babies) /    2 Wild(   0 female,    0 babies,    2 latent)
Trilobite_Character_C                            0 Tamed(   0 female,    0 babies) /    9 Wild(   0 female,    0 babies,    4 latent)
DarkPegasus_Character_BP_C                       0 Tamed(   0 female,    0 babies) /    4 Wild(   0 female,    0 babies,    4 latent)
Coel_Character_BP_Ocean_C                        0 Tamed(   0 female,    0 babies) /   31 Wild(   0 female,    0 babies,   16 latent)
Arthro_Character_BP_C                            0 Tamed(   0 female,    0 babies) /   43 Wild(  23 female,    6 babies,    4 latent)
Moschops_Character_BP_C                          0 Tamed(   0 female,    0 babies) /    5 Wild(   1 female,    0 babies,    0 latent)
Titanosaur_Character_BP_C                        0 Tamed(   0 female,    0 babies) /    3 Wild(   0 female,    0 babies,    0 latent)
Baculite_C                                       0 Tamed(   0 female,    0 babies) /   18 Wild(   0 female,    0 babies,   17 latent)
Megalodon_Character_BP_C                         0 Tamed(   0 female,    0 babies) /   10 Wild(   3 female,    0 babies,    3 latent)
Piranha_Character_BP_C                           0 Tamed(   0 female,    0 babies) /   26 Wild(   0 female,    0 babies,   26 latent)
Paracer_Character_BP_C                           0 Tamed(   0 female,    0 babies) /    8 Wild(   3 female,    1 babies,    3 latent)
Vulture_Character_BP_C                           0 Tamed(   0 female,    0 babies) /  161 Wild(  71 female,    0 babies,    3 latent)
IoMOxalaia_Character_bp_C                        0 Tamed(   0 female,    0 babies) /    1 Wild(   0 female,    0 babies,    1 latent)
BoaFrill_Character_BP_C                          0 Tamed(   0 female,    0 babies) /   48 Wild(   0 female,    0 babies,    1 latent)
Galli_Character_BP_C                             0 Tamed(   0 female,    0 babies) /   16 Wild(  10 female,    0 babies,    4 latent)
Quetz_Character_BP_C                             0 Tamed(   0 female,    0 babies) /    2 Wild(   0 female,    0 babies,    2 latent)
Jerboa_Character_BP_C                            0 Tamed(   0 female,    0 babies) /   42 Wild(  15 female,    3 babies,   13 latent)
