Spawnentry,,Dino,ALLO,Dearc,Inostrancevia,Tek Parasaur,Tek Quetzal,Tek Raptor,Tek Rex,Tek Stego,Tek Trike
Entry ID,,Dino BP,/Game/PrimalEarth/Dinos/Rex/Rex_Character_BP.Rex_Character_BP_C,/Beasts/Dearc/BPs/Dearc_Character_BP.Dearc_Character_BP_C,/Beasts/Inostrancevia/BPs/Inostrancevia_Character_BP.Inostrancevia_Character_BP_C,/Game/PrimalEarth/Dinos/Para/BionicPara_Character_BP.BionicPara_Character_BP_C,/Game/PrimalEarth/Dinos/Quetzalcoatlus/BionicQuetz_Character_BP.BionicQuetz_Character_BP_C,/Game/PrimalEarth/Dinos/Raptor/BionicRaptor_Character_BP.BionicRaptor_Character_BP_C,/Game/PrimalEarth/Dinos/Rex/BionicRex_Character_BP.BionicRex_Character_BP_C,/Game/PrimalEarth/Dinos/Stego/BionicStego_Character_BP.BionicStego_Character_BP_C,/Game/PrimalEarth/Dinos/Trike/BionicTrike_Character_BP.BionicTrike_Character_BP_C
,,Description,,flyer,thyla similar,,,,,,
MultiParams,Maps,Group. Creature-Size,3:1.0-1.0-0.5,3:1.0-0.5-0.25,2:1.0-0.5,1:1.0,1:1.0,1:1.0,1:1.0,1:1.0,1:1.0
Global replace,,,,,,,,,,,
,,use?,,,,,,,,,
,,Renamed To,,,,,,,,,
,,Wiki Page / Info,,https://steamcommunity.com/sharedfiles/filedetails/?id=3175794207,https://steamcommunity.com/sharedfiles/filedetails/?id=3175794207,,,,,,
,,Taming Method,,,,,,,,,
,,Taming Kibble,,,,,,,,,
,,Egg Kibble,,,,,,,,,
Beach,"The Center, Ragnarok, Valguero, Astraeos",EntryWeight,,,,0.9,,0.9,,0.9,0.9
DinoSpawnEntriesBeach_C,https://usebeacon.app/Games/ArkSA/Mods/2399830/DinoSpawnEntriesBeach_Generic_C,Limit,,,,1,,1,,1,1
Grasslands Generic,"The Center, Ragnarok",EntryWeight,0.3,0.2,0.4,,,,,,
DinoSpawnEntriesGrassland_Generic_C,https://usebeacon.app/Games/ArkSA/Mods/2399830/DinoSpawnEntriesGrassland_Generic_C,Limit,0.3,0.21,0.4,,,,,,
Rag Ice 1 Wyvern,Ragnarok,EntryWeight,,,,,,,,,
Ragnarok_DinoSpawnEntriesIceWyvern_C,https://usebeacon.app/Games/ArkSA/Mods/2399830/Ragnarok_DinoSpawnEntriesIceWyvern_C,Limit,,,,,,,,,
Rag Ice 2 Wyvern,Ragnarok,EntryWeight,,,,,,,,,
Ragnarok_DinoSpawnEntries_Ice_Wyvern_2_C,https://usebeacon.app/Games/ArkSA/Mods/2399830/Ragnarok_DinoSpawnEntries_Ice_Wyvern_2_C,Limit,,,,,,,,,
